Filtro	0.005	0.025	0.045	0.065	0.085	0.105	0.125	0.145	0.165
ED	5.342419933	5.438300594	5.537631859	5.644061437	5.756679879	5.877075386	6.0119988	6.162446487	6.334592026
MAXB	5.353760036	5.449179582	5.548532479	5.654797054	5.768283258	5.888673087	6.025142864	6.176216691	6.349812804
SMOB	5.354894722	5.450195357	5.549425975	5.655598647	5.76897587	5.889173214	6.025712701	6.176620596	6.350142076
VARW9	5.356478499	5.451493794	5.550698398	5.656750928	5.770196825	5.89043808	6.026676813	6.177558565	6.351073633
VARB	5.356884843	5.452107499	5.551118495	5.657136266	5.770488037	5.890355525	6.02707068	6.177681168	6.351120545
MEANB	5.35745142	5.452530662	5.551491053	5.657279767	5.77046675	5.890484043	6.026862671	6.177590668	6.350879744
MEANW9	5.35745142	5.452530662	5.551491053	5.657279767	5.77046675	5.890484043	6.026862671	6.177590668	6.350879744
MO2B	5.354890599	5.450373292	5.549756003	5.656485666	5.770248682	5.891111154	6.028229847	6.179960687	6.353824306
MAXW9	5.357777929	5.452689167	5.55162065	5.657417115	5.770655825	5.890636265	6.026740803	6.177536955	6.350989868
SMOW9	5.357492525	5.452471551	5.551485072	5.657393281	5.770731688	5.890799822	6.026986267	6.177828576	6.351326395
BM	5.370257533	5.465440379	5.563836439	5.669231568	5.781199409	5.900910681	6.03500707	6.184347424	6.355669048
MO1B	5.359406653	5.457389503	5.559026302	5.667362172	5.782568183	5.904380261	6.042457173	6.194499453	6.368934355
MINB	5.359692921	5.458696533	5.561005391	5.670233375	5.785990354	5.908668467	6.046869278	6.199228848	6.373903515
MO2W9	5.364409816	5.462683122	5.56727383	5.674665881	5.788741027	5.907336675	6.042620277	6.196273491	6.368398672
MO1W9	5.364403318	5.462712008	5.567460595	5.67507039	5.789111318	5.907444965	6.042805595	6.196466279	6.368677858
MINW9	5.409546916	5.503907423	5.601902319	5.706925214	5.819203503	5.938911536	6.073477676	6.222630337	6.394959877
ALEX	5.412557892	5.506427826	5.60414381	5.708794621	5.820835584	5.93968181	6.074576111	6.223796215	6.395716565
LEX	5.417867181	5.511401743	5.608988539	5.713169017	5.82505272	5.943813486	6.078340641	6.227249928	6.399121613
HLEX	5.415715259	5.515580016	5.618731847	5.72874534	5.845350705	5.970421813	6.109397305	6.263878354	6.440067573
DLAB	5.475418402	5.576327247	5.680393715	5.793556778	5.911725118	6.03828451	6.181218235	6.337988118	6.517572123
AMLEX	5.502817149	5.599463295	5.699473053	5.806072294	5.918933265	6.039078986	6.174542094	6.324267798	6.496060352
