Filltro	0.005	0.025	0.045	0.065	0.085	0.105	0.125	0.145	0.165
SMOW9	10.80050831	11.72794174	12.72124686	13.691976	14.63695429	15.50687185	16.3475753	17.13328329	17.873856
MAXW9	10.80082944	11.72812829	12.72151404	13.6923138	14.63728519	15.50715431	16.34806834	17.133674	17.87434598
VARW9	10.80511653	11.73177469	12.72552788	13.6972626	14.64303886	15.51405528	16.35512855	17.1419531	17.88264962
MAXB	10.80431312	11.73156577	12.7259692	13.69754075	14.64400703	15.51511808	16.35796731	17.14424015	17.88570119
MEANB	10.80419678	11.73164051	12.72633312	13.69895944	14.64613049	15.51799999	16.36154939	17.14912855	17.8917509
MEANW9	10.80419678	11.73164051	12.72633312	13.69895944	14.64613049	15.51799999	16.36154939	17.14912855	17.8917509
SMOB	10.80882635	11.73612239	12.73087903	13.70392668	14.6514441	15.52403588	16.36816847	17.15618841	17.8985091
MO2B	10.80695544	11.73453013	12.72982638	13.70317999	14.65169356	15.52468225	16.36982891	17.15916065	17.90325803
ED	10.80445561	11.73472059	12.73242758	13.70804893	14.65821167	15.53350237	16.38013821	17.17105783	17.91748413
VARB	10.81664197	11.74402735	12.74034438	13.71651548	14.6672805	15.54338979	16.39091269	17.18174528	17.92682124
MINB	10.81420865	11.74278964	12.74067143	13.71875929	14.67386517	15.55554632	16.41081101	17.21162991	17.96845601
MO1B	10.81408069	11.74306827	12.7414333	13.72106849	14.6771962	15.56153945	16.41881547	17.22135392	17.98014465
MO2W9	10.82395302	11.75383491	12.75749786	13.74542358	14.71010488	15.60244819	16.47095705	17.28483332	18.05393225
MO1W9	10.82407705	11.75384285	12.75778415	13.74550199	14.71068478	15.60278765	16.47121038	17.28525387	18.05576678
BM	10.85339033	11.78520692	12.80061176	13.80448849	14.78766685	15.69601179	16.5729568	17.39381979	18.16688197
ALEX	10.91883345	11.84882751	12.87872349	13.90829365	14.92212579	15.86091529	16.77225762	17.62192472	18.42372834
AMLEX	10.97117045	11.8931383	12.90799214	13.92078672	14.91972905	15.84795335	16.74822942	17.58980376	18.3843508
HLEX	10.97384259	11.90518592	12.94358473	13.9761638	14.98780046	15.91598304	16.81363219	17.64620273	18.42716215
MINW9	10.891598	11.8357776	12.88288703	13.93624845	14.98076552	15.95607995	16.90190936	17.79621317	18.63401161
LEX	10.9466277	11.87837221	12.92249933	13.97266515	15.00735475	15.96464698	16.89053267	17.75593275	18.56911462
DLAB	11.11900439	12.05811944	13.12807162	14.22225432	15.31837864	16.34878408	17.35468093	18.2944216	19.18735174
